,수신,날짜,거래조건,출발지,도착지,CBM,중량,OCEAN FREIGHT,THC,WHARFAGE,DOCUMENT FEE,TRUCKING CHG,HANDLING CHG,INSURANCE FEE,AGENCY FEE,CLEARANCE,LOCAL CHG,CLEANING CHG,SEAL CHG,검역증명서,원산지증명서,DRAYAGE CHG,PACKING CHG,PSF,PFS,DG CHG,ETC,TOTAL
15,에스씨다산,2022-07-11 00:00:00,EXW,아랍에미리트,INCHEON,67.7,,868153.0,730926.0,8840.0,297090.0,780945.0,55000.0,29470.0,33391.0,148830.0,,50000.0,,,,26712.0,,,172.0,,,3073604.0
16,월드비엠,2022-12-20 00:00:00,FOB,중국,PYEONGTAEK ,1,,112447.0,7500.0,341.0,50000.0,66145.0,33000.0,,,22000.0,,2500.0,,,,59300.0,,,,,55562.0,408794.0
17,아워픽,2023-02-02 00:00:00,FOB,중국,INCHEON,2.0683,377.0,24259.0,27313.0,666.0,50000.0,158302.0,33000.0,18651.0,37302.0,22000.0,,4878.0,,,,61600.0,,,,,70351.0,508322.0
18,올탑,2022-11-14 00:00:00,FOB,방글라데시,INCHEON,0.0621,1000.0,121239.0,7500.0,350.0,50000.0,,55000.0,,40413.0,22000.0,,2500.0,,,,70300.0,,,,,59273.0,536342.0
19,위드글로벌,2022-09-26 00:00:00,CIF,INCHEON,인도,0.2386,,13601250.0,,25200.0,50000.0,1073160.0,41850.0,20925.0,,22000.0,,,24000.0,,,,14084840.0,,516.0,,,30374741.0
0,주식회사 다웰스,2024-03-25 00:00:00,FOB,인도,INCHEON,20 FT,64000.0,456932.0,130000.0,4200.0,50000.0,322300.0,22000.0,,,,,35000.0,,,,,,,172.0,,0.0,1020604.0
1,주식회사 단,2024-05-21 00:00:00,FOB,중국,INCHEON,20 FT,,272820.0,130000.0,4200.0,50000.0,221100.0,22000.0,,,22000.0,,35000.0,,,,,,,172.0,,327384.0,1084676.0
2,주식회사 단,2024-05-21 00:00:00,FOB,중국,INCHEON,20 FT,,54564.0,130000.0,4200.0,50000.0,221100.0,22000.0,,,22000.0,,35000.0,,,,,,,172.0,,327384.0,866420.0
3,주식회사 단,2024-05-21 00:00:00,FOB,중국,INCHEON,10,,272820.0,75000.0,3500.0,40000.0,260923.0,22000.0,,,22000.0,,25000.0,,,,121000.0,,,,,327384.0,1048627.0
4,김나경 실장님,2023-11-13 00:00:00,EXW,태국,BUSAN,40 FT,1000.0,379877.0,180000.0,8400.0,50000.0,705880.0,33000.0,15.0,39298.0,157190.0,465022.0,50000.0,,,,,,,172.0,,0.0,2068853.0
5,김나경 실장님,2024-05-16 00:00:00,EXW,태국,INCHEON,40 FT,,364581.0,180000.0,8400.0,50000.0,472605.0,33000.0,20255.0,40509.0,162036.0,479357.0,50000.0,,,,,,,172.0,,297066.0,2157980.0
6,김나경 실장님,2024-05-16 00:00:00,EXW,스페인,BUSAN,40 FT,,614387.0,180000.0,8400.0,50000.0,1529601.0,33000.0,20255.0,44123.0,95600.0,764800.0,50000.0,,,,,,,172.0,,0.0,3390337.0
7,삼성임업,2024-05-03 00:00:00,CIF,BUSAN,에스토니아,40 FT,27500.0,6610588.0,190000.0,8400.0,50000.0,847000.0,22000.0,20667.0,,88000.0,,,10000.0,110000.0,110000,,,,172.0,,0.0,8066827.0
8,삼성임업,2024-05-03 00:00:00,CIF,BUSAN,네덜란드,40 FT,27500.0,5494587.0,190000.0,8400.0,50000.0,847000.0,22000.0,20667.0,,88000.0,,,10000.0,110000.0,110000,,,,172.0,,0.0,6950825.0
9,삼성임업,2024-05-03 00:00:00,CIF,INCHEON,네덜란드,40 FT,27500.0,6268899.0,190000.0,8400.0,50000.0,232100.0,22000.0,20667.0,,88000.0,,,10000.0,110000.0,110000,,,,172.0,,0.0,7110238.0
